timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
334066957,3407898,3407898,3407890,3407882,0,0.13009365,0.114232644,0.12804706,0.0,3407898,3407898,3407890,3407882,0,0.0023958297,0.005122972,0.0030838873,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
334266955,3407898,3407898,3407890,3407882,0,0.09885021,0.09525595,0.0870734,0.0,3407898,3407898,3407890,3407882,0,0.0020133117,0.0024034544,0.0012506639,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
334466956,3407898,3407898,3407890,3407882,0,0.13755323,0.06321968,0.17093195,0.0,3407898,3407898,3407890,3407882,0,0.0025761693,0.001399881,0.0022717977,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
334666955,3407898,3407898,3407890,3407882,0,0.05365039,0.108001135,0.09906073,0.0,3407898,3407898,3407890,3407882,0,0.002614166,0.0044269995,0.002164517,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
334866963,3407898,3407898,3407890,3407882,0,0.11213679,0.1782772,0.12639928,0.0,3407898,3407898,3407890,3407882,0,0.0036473095,0.0030002992,0.0021651154,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
335066965,3407898,3407898,3407890,3407882,0,0.022987934,0.06160124,0.07325997,0.0,3407898,3407898,3407890,3407882,0,0.0018928569,0.005141907,0.0042638103,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
335266937,3407898,3407898,3407890,3407882,0,0.055639233,0.114291735,0.14035271,0.0,3407898,3407898,3407890,3407882,0,0.0023295179,0.0022813913,0.0033942952,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
335466939,3407898,3407898,3407890,3407882,0,0.13347334,0.09908656,0.1515188,0.0,3407898,3407898,3407890,3407882,0,0.002341094,0.003486838,0.0015096851,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
335666968,3407898,3407898,3407890,3407882,0,0.2549206,0.193563,0.2013313,0.0,3407898,3407898,3407890,3407882,0,0.0036331394,0.0038699657,0.00027804324,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
335866954,3407898,3407898,3407890,3407882,0,0.08050505,0.0453189,0.06765759,0.0,3407898,3407898,3407890,3407882,0,0.00472131,0.006465178,0.002339456,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
336066985,3407898,3407898,3407890,3407882,0,0.06783987,0.029089052,0.06501518,0.0,3407898,3407898,3407890,3407882,0,0.0036367958,0.0030322582,0.0012965011,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
336266954,3407898,3407898,3407890,3407882,0,0.103832744,0.07556547,0.15783983,0.0,3407898,3407898,3407890,3407882,0,0.002456332,0.0018928626,0.00076927495,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
336466961,3407898,3407898,3407890,3407882,0,0.11771108,0.083223246,0.08453739,0.0,3407898,3407898,3407890,3407882,0,0.0043476284,0.004755754,0.0017123324,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
336666957,3407898,3407898,3407890,3407882,0,0.108633,0.12996404,0.14062163,0.0,3407898,3407898,3407890,3407882,0,0.0028977771,0.0031999073,0.0021184369,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
336866988,3407898,3407898,3407890,3407882,0,0.045195274,0.080275215,0.11595097,0.0,3407898,3407898,3407890,3407882,0,0.0010019079,0.0015947748,0.0006283847,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
337066914,3407898,3407898,3407890,3407882,0,0.17748545,0.027793638,0.167656,0.0,3407898,3407898,3407890,3407882,0,0.0049666306,0.0027048222,0.003950368,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
337266940,3407898,3407898,3407890,3407882,0,0.093279205,0.16130403,0.074402705,0.0,3407898,3407898,3407890,3407882,0,0.003396135,0.0030031756,0.0015115441,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
337666960,3407898,3407898,3407890,3407882,0,0.1429552,0.10117559,0.092646874,0.0,3407898,3407898,3407890,3407882,0,0.007888875,0.008131404,0.002536321,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
337866941,3407898,3407898,3407890,3407882,0,0.18011466,0.1494815,0.10875353,0.0,3407898,3407898,3407890,3407882,0,0.0053300033,0.006874173,0.0021290532,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
338066938,3407898,3407898,3407890,3407882,0,0.0675761,0.05896785,0.09924352,0.0,3407898,3407898,3407890,3407882,0,0.0068434756,0.00734728,0.0021771076,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
338266961,3407898,3407898,3407890,3407882,0,0.053919293,0.026490973,0.034749117,0.0,3407898,3407898,3407890,3407882,0,0.009781734,0.011966967,0.0027517516,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
338466988,3407898,3407898,3407890,3407882,0,0.10000004,0.12564771,0.15458001,0.0,3407898,3407898,3407890,3407882,0,0.008607986,0.0120459,0.0034930864,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
338666988,3407898,3407898,3407890,3407882,0,0.13457847,0.17200015,0.1056447,0.0,3407898,3407898,3407890,3407882,0,0.0038919682,0.005382987,0.0020402144,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
338866954,3407898,3407898,3407890,3407882,0,0.097456746,0.06353051,0.082368836,0.0,3407898,3407898,3407890,3407882,0,0.004704123,0.0062069935,0.0027789318,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
339266937,3407898,3407898,3407890,3407882,0,0.09112833,0.051255584,0.04199653,0.0,3407898,3407898,3407890,3407882,0,0.0016461934,0.0010975953,0.0011188446,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
339466939,3407898,3407898,3407890,3407882,0,0.09143362,0.11462399,0.0766367,0.0,3407898,3407898,3407890,3407882,0,0.0015972926,0.00042203945,0.0019481798,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
339666959,3407898,3407898,3407890,3407882,0,0.07859502,0.19092953,0.15498069,0.0,3407898,3407898,3407890,3407882,0,0.001244301,0.0008481642,0.0019780851,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
339866939,3407898,3407898,3407890,3407882,0,0.034150027,0.06547713,0.06303306,0.0,3407898,3407898,3407890,3407882,0,0.0019726926,0.0029636654,0.0016534764,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
340066959,3407898,3407898,3407890,3407882,0,0.10201861,0.05944816,0.049391434,0.0,3407898,3407898,3407890,3407882,0,0.0015576535,0.0017702893,0.001272438,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
340266956,3407898,3407898,3407890,3407882,0,0.19888046,0.17281324,0.040996883,0.0,3407898,3407898,3407890,3407882,0,0.0019880903,0.0011410884,0.0012756134,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
340466960,3407898,3407898,3407890,3407882,0,0.11848267,0.09615917,0.039206002,0.0,3407898,3407898,3407890,3407882,0,0.0022293115,0.0035211015,0.0017033357,0.0,1,1,1,0,50,50,50,0,1,1,1,0,50,50,50,0
